hotel,meal,total_night_booked,market_segment,revenue
City Hotel,BB,10,Offline TA/TO,7970
Resort Hotel,HB,11,Offline TA/TO,7952
Resort Hotel,Undefined,28,Offline TA/TO,7874
City Hotel,BB,5,Corporate,7812
Resort Hotel,FB,14,Offline TA/TO,7801
Resort Hotel,HB,11,Direct,7793
Resort Hotel,HB,2,Offline TA/TO,7768
Resort Hotel,HB,12,Direct,7644
City Hotel,BB,15,Direct,7610
Resort Hotel,HB,69,Direct,7590
City Hotel,BB,4,Corporate,7552
Resort Hotel,BB,8,Corporate,7519
Resort Hotel,BB,4,Corporate,7455
City Hotel,HB,4,Direct,7369
City Hotel,HB,6,Direct,7255
City Hotel,BB,4,Aviation,7246
Resort Hotel,HB,3,Offline TA/TO,7229
Resort Hotel,BB,4,Groups,7208
Resort Hotel,BB,9,Direct,7169
Resort Hotel,HB,18,Groups,7164
City Hotel,SC,20,Online TA,7114
City Hotel,SC,10,Online TA,7101
Resort Hotel,BB,2,Groups,7066
Resort Hotel,HB,3,Groups,7061
City Hotel,BB,4,Corporate,7055
Resort Hotel,FB,6,Offline TA/TO,7031
Resort Hotel,HB,2,Direct,7004
Resort Hotel,FB,11,Direct,6994
City Hotel,BB,8,Offline TA/TO,6984
City Hotel,BB,8,Corporate,6975
City Hotel,BB,22,Online TA,6889
City Hotel,SC,2,Direct,6882
City Hotel,HB,1,Direct,6864
Resort Hotel,HB,1,Direct,6851
Resort Hotel,Undefined,5,Direct,6757
Resort Hotel,HB,11,Groups,6702
City Hotel,SC,1,Direct,6691
City Hotel,BB,15,Online TA,6676
Resort Hotel,BB,6,Groups,6636
Resort Hotel,HB,60,Direct,6630
City Hotel,HB,14,Online TA,6565
City Hotel,HB,2,Offline TA/TO,6546
City Hotel,BB,33,Direct,6490
City Hotel,HB,8,Online TA,6457
Resort Hotel,BB,8,Groups,6408
City Hotel,BB,2,Corporate,6406
City Hotel,SC,10,Online TA,6393
Resort Hotel,BB,12,Offline TA/TO,6273
City Hotel,SC,4,Offline TA/TO,6272
City Hotel,BB,7,Corporate,6272
City Hotel,HB,3,Direct,6259
Resort Hotel,HB,21,Direct,6234
City Hotel,BB,2,Aviation,6212
City Hotel,BB,29,Direct,6148
Resort Hotel,HB,9,Offline TA/TO,6142
City Hotel,SC,5,Offline TA/TO,6093
Resort Hotel,Undefined,4,Groups,6068
City Hotel,SC,7,Offline TA/TO,6057
City Hotel,BB,12,Direct,5990
Resort Hotel,HB,12,Offline TA/TO,5950
Resort Hotel,FB,2,Groups,5932
City Hotel,BB,5,Groups,5925
Resort Hotel,HB,17,Online TA,5918
Resort Hotel,HB,2,Offline TA/TO,5904
City Hotel,SC,3,Offline TA/TO,5896
Resort Hotel,HB,16,Online TA,5856
City Hotel,BB,8,Groups,5850
City Hotel,HB,6,Offline TA/TO,5821
Resort Hotel,BB,17,Offline TA/TO,5775
Resort Hotel,HB,15,Offline TA/TO,5775
City Hotel,BB,30,Online TA,5753
Resort Hotel,HB,4,Groups,5734
City Hotel,SC,9,Online TA,5681
City Hotel,HB,6,Direct,5627
Resort Hotel,HB,13,Online TA,5604
City Hotel,BB,16,Direct,5584
Resort Hotel,HB,3,Groups,5526
City Hotel,BB,9,Offline TA/TO,5480
City Hotel,BB,12,Online TA,5460
Resort Hotel,BB,1,Groups,5415
Resort Hotel,BB,42,Offline TA/TO,5404
City Hotel,SC,4,Offline TA/TO,5336
City Hotel,HB,2,Online TA,5305
Resort Hotel,FB,10,Offline TA/TO,5240
Resort Hotel,BB,15,Online TA,5223
Resort Hotel,Undefined,8,Direct,5194
